System Timestamp,GPS Timestamp,Latitude,Longitude,Heading Angle,filename
05:31.1,22/09/2024 11:05,58.3879341,26.7335158,303.64814,5823
05:32.1,22/09/2024 11:05,58.3879651,26.7334284,304.0454,5847
05:33.1,22/09/2024 11:05,58.3879962,26.7333407,303.87886,5871
05:34.1,22/09/2024 11:05,58.3880282,26.7332532,305.14078,5895
05:35.1,22/09/2024 11:05,58.3880605,26.7331667,305.38684,5924
05:36.1,22/09/2024 11:05,58.3880925,26.7330802,304.99376,5948
05:37.1,22/09/2024 11:05,58.3881236,26.732992,303.33412,5972
05:38.1,22/09/2024 11:05,58.3881541,26.7329044,303.49546,5996
05:39.1,22/09/2024 11:05,58.3881851,26.7328193,305.08018,6020
05:40.1,22/09/2024 11:05,58.3882164,26.7327335,304.67456,6044
05:41.1,22/09/2024 11:05,58.3882486,26.7326461,304.9865,6068
05:42.1,22/09/2024 11:05,58.3882776,26.7325641,303.10848,6092
05:43.1,22/09/2024 11:05,58.3883032,26.7324907,303.4823,6116
05:44.1,22/09/2024 11:05,58.3883265,26.7324278,305.74216,6140
05:45.1,22/09/2024 11:05,58.3883474,26.732375,307.56848,6164
05:46.1,22/09/2024 11:05,58.3883695,26.7323163,305.23242,6188
05:47.1,22/09/2024 11:05,58.3883936,26.7322449,301.66932,6212
05:48.1,22/09/2024 11:05,58.3884202,26.7321638,302.09378,6236
05:49.1,22/09/2024 11:05,58.3884492,26.7320799,303.73672,6260
05:50.1,22/09/2024 11:05,58.3884794,26.7319948,304.29924,6284
05:51.1,22/09/2024 11:05,58.3885102,26.7319081,304.04726,6308
05:52.1,22/09/2024 11:05,58.3885417,26.7318205,304.66622,6332
05:53.1,22/09/2024 11:05,58.3885734,26.7317326,304.44624,6356
05:54.1,22/09/2024 11:05,58.3886046,26.7316435,303.19098,6380
05:55.1,22/09/2024 11:05,58.3886355,26.7315542,303.42378,6404
05:56.1,22/09/2024 11:05,58.3886677,26.7314652,304.84926,6428
05:57.1,22/09/2024 11:05,58.3887001,26.7313762,304.56566,6452
05:58.1,22/09/2024 11:05,58.3887322,26.7312878,304.87524,6476
05:59.1,22/09/2024 11:05,58.388764,26.7312009,305.00658,6500
06:00.1,22/09/2024 11:06,58.3887958,26.7311144,305.16072,6524
06:01.1,22/09/2024 11:06,58.3888268,26.7310257,303.22516,6548
06:02.1,22/09/2024 11:06,58.3888586,26.7309367,304.7363,6572
06:03.1,22/09/2024 11:06,58.38889,26.7308456,302.36664,6596
06:04.1,22/09/2024 11:06,58.3889219,26.7307549,304.44836,6620
06:05.1,22/09/2024 11:06,58.3889541,26.7306643,303.54104,6644
06:06.1,22/09/2024 11:06,58.388986,26.7305733,303.9449,6668
06:07.1,22/09/2024 11:06,58.3890184,26.7304835,305.17048,6692
06:08.1,22/09/2024 11:06,58.3890515,26.7303949,305.56824,6716
06:09.1,22/09/2024 11:06,58.3890851,26.7303059,305.80472,6740
06:10.1,22/09/2024 11:06,58.3891185,26.7302166,305.44428,6764
06:11.1,22/09/2024 11:06,58.3891517,26.7301268,305.10498,6788
06:12.1,22/09/2024 11:06,58.389184,26.7300357,303.44298,6812
06:13.1,22/09/2024 11:06,58.3892158,26.7299442,303.2153,6836
06:14.1,22/09/2024 11:06,58.3892472,26.7298514,302.68396,6860
06:15.1,22/09/2024 11:06,58.3892786,26.7297586,302.90912,6884
06:16.1,22/09/2024 11:06,58.3893101,26.7296657,303.27154,6908
06:17.1,22/09/2024 11:06,58.3893425,26.729574,304.25398,6932
06:18.1,22/09/2024 11:06,58.3893749,26.7294859,305.1832,6956
06:19.1,22/09/2024 11:06,58.3894054,26.7294019,304.51458,6980
06:20.1,22/09/2024 11:06,58.3894356,26.7293218,306.29172,7004
06:21.1,22/09/2024 11:06,58.3894657,26.7292422,305.65596,7028
06:22.1,22/09/2024 11:06,58.3894942,26.7291657,305.4366,7052
06:23.1,22/09/2024 11:06,58.3895198,26.729091,302.34494,7076
06:24.1,22/09/2024 11:06,58.3895464,26.7290091,301.5795,7100
06:25.1,22/09/2024 11:06,58.3895775,26.7289215,305.00934,7124
